,bulk_sample_1,scRNA_sample_1
Gm16404,0.0,0.0
Ranbp1,40.49513782732039,130.194871739444
Gm17233,0.0604966730985628,0.0
Pdcd2,0.0,15.782933573349341
Gm10205,0.0,0.0
Gm11937,0.02247498388206531,0.0
Gm10257,0.046640116003296525,20.62244018858157
Mfrp,0.3144820887579448,0.0
Ntan1,32.206074206942006,41.49242459551457
Chrna1,23.02748137835212,5.396312481519295
Cep192,54.448608005331536,7.711265257051663
Gm15263,0.015546705334432174,0.0
Ptk6,6.265979699810574,0.0
Gvin1,0.08466180521979401,0.0
Dbp,13.135068296776641,17.014123991735698
Gm13582,0.311101792279613,0.0
Vmn1r100,0.0,0.0
Gm12500,1.0421323141798644,0.0
Gm3089,0.0,0.0
Sap30,9.502893727930356,11.896990172126374
Clca1,40.057857727853076,36.51710557933219
Olfr629,0.15377690510515585,0.0
Gm9873,0.015546705334432174,0.0
Mir467a-5,0.0,0.0
Gm4491,0.21596372644288453,0.0
Serpinb9e,0.3749787618565076,2.0320701308043545
Gm16164,0.0,0.0
Timm17a,51.6199593547492,96.9104425027126
Gm3633,0.0,0.0
Gm14472,0.43378528671590455,0.0
Dip2c,33.54461332835137,45.01421919629808
Tnks1bp1,170.5882543958959,98.62570786958341
Dnm2,192.18592864792367,202.7366438890127
Prl2a1,1.1249362855695229,0.0
Zfp868,14.503835816241079,2.132855573684828
4930503L19Rik,2.9378109591053017,0.0
Mir30e,0.0,0.0
Specc1l,120.69479117656458,57.67482526959951
Gm5431,4.957360189933288,0.0
Mettl11b,7.930999633243012,10.201346119275092
Gm14994,0.0,0.0
1700041M05Rik,0.053568394550929654,0.0
Gm12870,1.916463480568337,0.0
Ube2s,34.82702889435685,0.0
Tmem233,1.0610593159926283,0.0
Kcnn1,35.29546886614039,0.0
Prl3d2,0.07604337843299497,0.0
Serpina3b,2.837602448551076,0.0
Btk,2.8823847307242367,0.0
Camta2,85.62999431424666,143.46767471207826
Gm9830,0.04494996776413062,4.425874862225607
Ppp3r1,94.09309003394125,24.943037167214985
Gab3,0.5201372401748644,0.0
Gm11195,0.10713678910185931,0.0
Gm16430,0.0,0.0
Gm7023,0.0,0.0
Gas1,2.913478141393101,0.0
Cox11,7.510722240110964,0.0
Gm14220,0.0,0.0
Samd8,34.939236128176205,10.51514935639142
Gm13236,0.0,0.0
Apobr,33.873971380079865,0.0
Apoe,89.19845959910701,264.6532371177788
Gm16306,0.0,0.0
Fhod1,9.910488363103926,3.9246182385019535
Stard6,0.12268349443629148,0.0
Peg10,10.591666158113519,0.0
Serinc5,100.41853370864564,17.69241406827084
Gm16063,0.319720219066412,0.0
Iqcf5,0.23674856208578393,0.0
Ybx2,4.582716799258719,0.0
Tsc1,88.5900461099957,31.58332869470132
Gm16579,0.0,0.0
