,bulk_sample_1,scRNA_sample_1
Ighv3-8,0,0
4930544M13Rik,0,0
1700028I16Rik,0,0
Dym,49,116
T2,1,0
Commd2,17,14
Hnf1b,4,3
Sp8,1,0
Mir194-2,0,0
Smt3h2-ps2,0,0
Vmn1r30,0,0
Ankrd2,3,6
Tktl1,1,0
Gm14641,0,0
Stoml3,4,0
Gm11901,0,0
Gm14368,0,0
C030017D09Rik,0,0
Fmn1,66,49
B3galt4,5,7
Fadd,17,24
Gm16111,0,0
Cpd,262,18
Gm13627,0,0
Nt5c1a,1,0
Coq3,22,23
9530036M11Rik,0,0
Magea10,0,0
Polr3gl,8,17
Pde1a,3,0
Gm12221,0,0
Eif2ak4,19,41
n-R5s198,0,0
Otog,39,0
Arg1,13,2
Gm16227,0,0
Dcp1a,62,8
Cer1,0,0
Gm12664,0,0
Polm,24,13
A2m,29,0
Nr1h4,2,0
Vma21-ps,0,0
4930453O03Rik,0,0
Usp9y,0,0
Xlr4a,0,0
Fblim1,23,34
Chad,5,3
Gm16418,4,39
Tmem208,26,87
Fgf3,12,0
Atxn1,34,34
Gm9962,0,0
Pbx3,12,5
Gm6594,0,0
Gm15243,0,0
Eda2r,7,0
Gm11309,0,0
Mir744,0,0
Gm13504,0,3
Slc41a3,22,12
E2f1,12,0
Gngt1,1,0
Chst5,2,4
1810059H22Rik,1,12
Gm13345,0,0
Olfr492,0,0
Mrps15,25,72
Saa3,212,154
Mup-ps22,1,0
Tyrobp,5,41
Efr3a,72,28
Ltc4s,6,578
Slc5a2,3,0
Gm7418,0,11
Btbd7,57,21
Gm15767,0,0
Gm14694,0,0
Olfr514,0,0
Mff,49,47
Vmn1r219,0,0
Mir1928,0,0
AA467197,35,69
Dscaml1,262,135
Rapgef6,103,77
Tab1,17,27
C1d,28,30
Taok1,99,78
Olfr1342,1,0
2610507B11Rik,226,166
Adssl1,8,0
Rpl30-ps9,0,0
Mrgpra4,0,0
Cntnap5b,8,0
Ptchd1,1,0
Ncf1,462,23
Cntn3,1,0
Triml1,1,0
Tmem67,22,2
Prkra,13,6
4732463B04Rik,0,0
Olfr1042,0,0
Cyp4f39,17,2
Gm14485,0,0
Haus8,13,13
Gm15642,0,0
Gm16464,2,0
Dhfr,8,5
Ubxn11,27,4
Ier5,350,49
Gna14,5,12
Glns-ps1,3,0
Gm11846,0,0
6430548M08Rik,16,26
Gm12144,0,0
Vmn1r8,0,0
Gm12647,0,0
Pak7,1,0
Pnrc2,72,95
Ttc36,4,126
Wdfy2,57,25
1700095J03Rik,3,0
Gm4221,1,0
Stag2,112,40
Gm13761,0,0
Pcdha3,0,0
Nlrp14,1,0
Fbxw16,2,0
Tcl1b4,0,0
Cdk2,45,23
Gm12788,0,0
Tmod1,7,1
Gm15904,0,0
Helz,98,63
Itpkb,40,34
Zkscan1,44,88
Gm14698,2,2
Krt14,216,71
Stbd1,4,0
Utp23,6,18
Ube3c,73,67
Map3k4,48,19
Rnf187,110,90
Gm15870,0,0
Sh2d2a,5,0
Gm17251,2,3
Gm12065,0,0
Gm12702,0,0
1500009C09Rik,2,0
1700018B08Rik,1,0
Uba2,84,73
Prss35,21,0
Gm5776,2,20
Olfr1328,0,0
